"","Sample","seir.E","seir.S","seir.b","seir.tau","seir.p_h","clockRate","gamma0","gamma1"
"15001","15000000.1",8.11733791780736,790556.06707758,21.3528923488664,79.560649484888,0.226789980767118,0.000597309903319197,73,121.667
"15002","15001000.1",6.30537022891414,779757.255418111,21.3528923488664,74.0428352980433,0.244800696172571,0.000585522297533251,73,121.667
"15003","15002000.1",6.30537022891414,753810.683113233,20.8426283369867,69.1196061860682,0.266896299217888,0.000599787044065095,73,121.667
"15004","15003000.1",6.30537022891414,918342.360365835,23.026783850813,82.3071697615828,0.199317310866894,0.00052815556614591,73,121.667
"15005","15004000.1",5.80033740360673,892699.940264092,26.7129160955431,77.8992830412049,0.20782289627617,0.000609830080395866,73,121.667
"15006","15005000.1",5.39494363539065,1081790.2556077,26.628385741724,70.1748754306642,0.220056321049266,0.000633107865329116,73,121.667
"15007","15006000.1",7.08555379578777,1177255.24734234,26.628385741724,59.4702944514801,0.233822933941769,0.000626983031189808,73,121.667
"15008","15007000.1",6.57805065260329,1138379.21821395,30.3134386280263,59.6160286196454,0.203408062794678,0.000720614978873371,73,121.667
"15009","15008000.1",6.5168515598391,1182263.7454659,27.1823668532947,70.1613516106131,0.19662992832072,0.000706789076153806,73,121.667
"15010","15009000.1",8.56505753410482,1128884.09016471,25.0631141746803,74.6850504260085,0.203235578977917,0.000620255407695336,73,121.667
"15011","15010000.1",7.31163303825936,1151957.0702588,25.9360870747053,83.0160919775131,0.173522279128802,0.000731827475007364,73,121.667
"15012","15011000.1",4.63030548198043,1099299.74307991,34.2491278110928,75.4320433184208,0.176709415830055,0.000631902924036499,73,121.667
"15013","15012000.1",3.95208308184616,1497779.19580925,34.9002674531477,72.0148303938005,0.18597205556673,0.000678093100434779,73,121.667
"15014","15013000.1",3.78680155186936,1629969.73948791,34.9002674531477,76.8260444159257,0.169369610305148,0.000582724767564802,73,121.667
"15015","15014000.1",5.30655682064089,1529897.48205818,34.5036714975433,73.1081130110104,0.169369610305148,0.000650308237503622,73,121.667
"15016","15015000.1",9.53404515388955,1344692.45905041,36.6009806926663,71.0550879976026,0.168358133991124,0.000741013473456138,73,121.667
"15017","15016000.1",7.63624691282561,1438757.84924059,33.0660360180213,77.097630090248,0.175888208122708,0.000818941744289838,73,121.667
"15018","15017000.1",8.01535158265714,1468345.66471001,31.6859347420153,66.1085635614868,0.193478160118922,0.000709061098852743,73,121.667
"15019","15018000.1",5.68114468649434,1439845.02493386,33.258514825372,66.1085635614868,0.178905365566595,0.000583717515137331,73,121.667
"15020","15019000.1",5.55125391768638,1297553.33234672,29.4873080771468,66.1085635614868,0.214079585975047,0.000751153180078531,73,121.667
"15021","15020000.1",5.82449039585317,1205388.64962861,26.0543310900283,68.1429716852974,0.217211240334952,0.000624869973617772,73,121.667
"15022","15021000.1",8.51459900113197,1025446.38451369,22.8839751319508,71.7060997491201,0.223222362622133,0.000823498972407593,73,121.667
"15023","15022000.1",8.74382867608497,964972.637407414,21.9149619673799,78.5890526729591,0.210174358695452,0.000711282002201796,73,121.667
"15024","15023000.1",7.66322732080032,1030550.37424977,22.6116021895608,87.3170842012377,0.188647832478482,0.00063441797050452,73,121.667
"15025","15024000.1",10.6514866901778,1027600.84288776,23.7978216372197,78.9691290099532,0.198624216160683,0.000662672539053589,73,121.667
"15026","15025000.1",5.92749555057741,998469.530941319,27.8536829838855,83.9755076369324,0.186358040283228,0.000767725724213572,73,121.667
"15027","15026000.1",6.59271496947462,1094841.81888321,29.3964366317054,79.1839627998202,0.187118319863226,0.000707274168885561,73,121.667
"15028","15027000.1",5.41962744390997,1212175.53074693,26.6431569570037,76.9988380708517,0.213820030150637,0.000760444881956658,73,121.667
"15029","15028000.1",8.79795581767211,1428855.87838647,21.4146145126067,78.7659366930325,0.193553696427762,0.000673968879563537,73,121.667
"15030","15029000.1",6.97299396080181,1436576.42824722,21.4146145126067,87.7681642531969,0.192123359698514,0.000715735174566056,73,121.667
"15031","15030000.1",5.8026955721773,1485822.79545028,29.6034150648995,71.7138565855945,0.203006423087312,0.000579123238489914,73,121.667
"15032","15031000.1",10.0317225280054,1498160.60464027,24.4004692881115,76.1610165392295,0.21847357017401,0.000665294928809883,73,121.667
"15033","15032000.1",14.2083155960703,1475752.6897417,24.4888283777818,76.1610165392295,0.206344364440979,0.00071491726225144,73,121.667
"15034","15033000.1",14.9415263488237,1374712.23362083,20.9137688443028,66.9851015600561,0.222118512774918,0.000808362619706801,73,121.667
"15035","15034000.1",12.9652174371704,1434810.78676184,22.6858569504615,79.9852751057756,0.198410154225622,0.00074327050605811,73,121.667
"15036","15035000.1",12.0675374617487,1421443.75792605,24.3651680820008,75.0426640092796,0.209934254850983,0.00057890590234091,73,121.667
"15037","15036000.1",9.60629158355991,1248770.92627002,21.9261049068982,77.6389171200734,0.220849028193777,0.000621861285221174,73,121.667
"15038","15037000.1",6.57239094554746,1268498.5409928,25.1661267683724,74.8231885608717,0.256402285123194,0.000568294411452254,73,121.667
"15039","15038000.1",13.7816841267278,1294206.68638836,24.1388759241658,78.7276849108562,0.219332866475695,0.000738353968864105,73,121.667
"15040","15039000.1",10.5612010454009,1232276.67309366,24.1388759241658,71.2921787424768,0.213023383321295,0.000689194148436529,73,121.667
"15041","15040000.1",9.31587298194171,1196575.00979247,24.1388759241658,81.6101703408809,0.20817263183686,0.000607007687627066,73,121.667
"15042","15041000.1",7.39665959415374,1207013.09976789,27.9569258768001,89.3873052637378,0.20817263183686,0.000602416908510421,73,121.667
"15043","15042000.1",4.77096207119502,1292463.45492034,33.3454360652623,76.2605054044081,0.205283027731402,0.000689473887925565,73,121.667
"15044","15043000.1",6.39226215026372,1281705.37888177,33.3454360652623,76.3672084963538,0.188307640697268,0.000572105952684702,73,121.667
"15045","15044000.1",8.85838880055942,1353771.20467168,37.2626960028669,65.9195579286028,0.152571665631243,0.000580427597570974,73,121.667
"15046","15045000.1",5.30034006849088,1319524.81319825,33.9703909242481,84.6430761319879,0.207498457194445,0.000628953764739225,73,121.667
"15047","15046000.1",10.8390034542827,1551632.92561564,36.9015624877967,69.4914712015365,0.204494862384633,0.000559419924700117,73,121.667
