"","Sample","seir.E","seir.S","seir.b","seir.tau","seir.p_h","clockRate","gamma0","gamma1"
"7001","7000000.1",5.00000145256386,224756.647275947,30.2998828067102,69.5816478840918,0.194782229605072,0.000892604096222264,73,121.667
"7002","7001000.1",5.00000145256386,224885.358474041,30.2998828067102,69.5816478840918,0.194782229605072,0.00105240796485424,73,121.667
"7003","7002000.1",5.00000145256386,224885.358474041,30.2998828067102,69.5816478840918,0.194782229605072,0.0010388769411586,73,121.667
"7004","7003000.1",5.00000145256386,224885.358474041,30.2998828067102,69.5816478840918,0.194782229605072,0.000947284023994298,73,121.667
"7005","7004000.1",5.00000145256386,224885.358474041,30.2998828067102,69.5816478840918,0.194782229605072,0.00100081413824269,73,121.667
"7006","7005000.1",5.00000145256386,224885.358474041,30.2998828067102,69.5816478840918,0.194782229605072,0.000997908179260101,73,121.667
"7007","7006000.1",5.00000145256386,224840.619759137,30.2998828067102,69.5816478840918,0.194782229605072,0.000953172311103249,73,121.667
"7008","7007000.1",5.00000145256386,224898.423014114,30.2998828067102,69.5816478840918,0.194782229605072,0.00104300877114313,73,121.667
"7009","7008000.1",5.00000145256386,226253.776887604,30.2998828067102,69.5816478840918,0.194782229605072,0.00103824081448526,73,121.667
"7010","7009000.1",5.00000145256386,226253.776887604,30.2998828067102,69.5816478840918,0.194782229605072,0.000931376759829827,73,121.667
"7011","7010000.1",5.00000145256386,226253.776887604,30.2998828067102,69.5816478840918,0.194782229605072,0.000975780726107324,73,121.667
"7012","7011000.1",5.00000145256386,226253.776887604,30.2998828067102,69.5816478840918,0.194782229605072,0.0010084448799246,73,121.667
"7013","7012000.1",5.00000145256386,227202.29100684,30.2998828067102,69.5816478840918,0.194782229605072,0.00102667985641562,73,121.667
"7014","7013000.1",5.00000145256386,226922.365726838,30.2998828067102,69.5816478840918,0.194782229605072,0.00104942540912553,73,121.667
"7015","7014000.1",5.00000145256386,227149.68254723,30.2998828067102,69.5816478840918,0.194782229605072,0.000937361290061891,73,121.667
"7016","7015000.1",5.00000145256386,227275.49203766,30.2998828067102,69.5816478840918,0.194782229605072,0.000985934234310635,73,121.667
"7017","7016000.1",5.00000145256386,226102.305863603,30.2998828067102,69.5816478840918,0.194782229605072,0.000973199700995471,73,121.667
"7018","7017000.1",5.00000145256386,226249.47129899,30.2998828067102,69.5816478840918,0.194782229605072,0.000961848299850814,73,121.667
"7019","7018000.1",5.00000145256386,226656.074199662,30.2998828067102,69.5816478840918,0.194782229605072,0.00094154269855386,73,121.667
"7020","7019000.1",5.00000145256386,227960.726890931,30.2998828067102,69.5816478840918,0.194782229605072,0.000972933963581221,73,121.667
"7021","7020000.1",5.00000145256386,227960.726890931,30.2998828067102,69.5816478840918,0.194782229605072,0.00101074295528556,73,121.667
"7022","7021000.1",5.00000145256386,227741.161853499,30.2998828067102,69.5816478840918,0.194782229605072,0.000925163698815859,73,121.667
"7023","7022000.1",5.00000145256386,227548.84639574,30.2998828067102,69.5816478840918,0.194782229605072,0.000986607865248698,73,121.667
"7024","7023000.1",5.00000145256386,227548.84639574,30.2998828067102,69.5816478840918,0.194782229605072,0.000984468794119276,73,121.667
"7025","7024000.1",5.00000145256386,227328.667765588,30.2998828067102,69.5816478840918,0.194782229605072,0.00111187875935658,73,121.667
"7026","7025000.1",5.00000145256386,227016.354476236,30.2998828067102,69.5816478840918,0.194782229605072,0.00103615706771601,73,121.667
"7027","7026000.1",5.00000145256386,227016.354476236,30.2998828067102,69.5816478840918,0.194782229605072,0.00103750655346704,73,121.667
"7028","7027000.1",5.00000145256386,227262.168968609,30.2998828067102,69.5816478840918,0.194782229605072,0.00108517154228568,73,121.667
"7029","7028000.1",4.99995527741977,225956.097330644,30.2998828067102,69.5816478840918,0.194782229605072,0.00100789388542471,73,121.667
"7030","7029000.1",4.99995527741977,225906.636085259,30.2998828067102,69.5816478840918,0.194782229605072,0.00112372066820459,73,121.667
"7031","7030000.1",4.99995527741977,225846.218542053,30.2998828067102,69.5816478840918,0.194782229605072,0.00103221503540121,73,121.667
"7032","7031000.1",4.99995527741977,225846.218542053,30.2998828067102,69.5816478840918,0.194782229605072,0.00085727869243161,73,121.667
"7033","7032000.1",4.99995527741977,225812.48208048,30.2998828067102,69.5816478840918,0.194782229605072,0.000975888421596519,73,121.667
"7034","7033000.1",4.99995527741977,225812.48208048,30.2998828067102,69.5816478840918,0.194782229605072,0.000874492076488134,73,121.667
"7035","7034000.1",4.99995527741977,224699.214201672,30.2998828067102,69.5816478840918,0.194782229605072,0.00105029313030317,73,121.667
"7036","7035000.1",4.99995527741977,224699.214201672,30.2998828067102,69.5816478840918,0.194782229605072,0.00103711440013169,73,121.667
"7037","7036000.1",4.99995527741977,219760.665734802,30.2998828067102,69.5816478840918,0.194782229605072,0.000994291578413247,73,121.667
"7038","7037000.1",4.99995527741977,219760.665734802,30.2998828067102,69.5816478840918,0.194782229605072,0.00102346854394346,73,121.667
"7039","7038000.1",4.99995527741977,219760.665734802,30.2998828067102,69.5816478840918,0.194782229605072,0.00102604039747349,73,121.667
"7040","7039000.1",4.99995527741977,207245.565304807,30.2998828067102,69.5816478840918,0.194782229605072,0.00103831546312213,73,121.667
"7041","7040000.1",4.99995527741977,208716.712391765,30.2998828067102,69.5816478840918,0.194782229605072,0.00110288095677948,73,121.667
"7042","7041000.1",4.99995527741977,208716.712391765,30.2998828067102,69.5816478840918,0.194782229605072,0.000948936984185538,73,121.667
